id,titulo,anio,duracion,genero,plataforma,estreno_cine,actores,directores,votos,puntuacion,poster_url
1408248,El juego del calamar: Chimenea,2024,60,,N/A,2024-12-12,,,124,6.944,https://image.tmdb.org/t/p/w500/cIIMvxLztRs1MbXH0oqaw3SGV0q.jpg
1363224,Fear Cabin: The Last Weekend of Summer,2024,77,Terror,Brian Krainson Film Studios,2024-09-27,"Brody Wellmaker, Brian Krainson, Violet SinClair",Brian Krainson,3,8.667,https://image.tmdb.org/t/p/w500/gaSqrnpSnTq5oYno0KnDyDXAF5r.jpg
1240475,Caza al mal,2024,103,Acción,Tencent Video,2024-07-18,"谢苗, 安志杰, 連凱",Chris Huo,6,7.2,https://image.tmdb.org/t/p/w500/n78hDmtawKOvJh3YLMcC5OJr2ER.jpg
1018990,Continente,2024,116,"Terror, Drama",Vulcana Cinema,2024-07-18,"Olívia Torres, Ana Flavia Cavalcanti, Corentin Fila",Davi Pretto,5,6.0,https://image.tmdb.org/t/p/w500/iZLWNFNtCsq6a2rA0uRb1XG03Ga.jpg
1379587,Utopia,2024,93,"Misterio, Suspense, Acción, Ciencia ficción",SP Media Group,2024-12-09,"Moe Dunford, Charlotte Vega, Michael D. Xavier",James Bamford,42,5.476,https://image.tmdb.org/t/p/w500/81PlfsAsb2wLY56UsbnUpMn80xh.jpg
1017163,Fuerza bruta: Castigo,2024,109,"Acción, Crimen, Drama, Suspense, Comedia",BA Entertainment,2024-04-24,"마동석, 김무열, 박지환",허명행,163,6.991,https://image.tmdb.org/t/p/w500/h6DvCL25R61iRzN7qkUnFg6O33A.jpg
1289601,Lucha por tu vida,2024,126,"Acción, Drama, Suspense",Blue Stone Media,2024-06-07,"Bren Foster, Cassie Howarth, Luke Ford",Bren Foster,44,7.0,https://image.tmdb.org/t/p/w500/8iZZyL7FyC4wYipwKemvuf58U3R.jpg
1241982,Vaiana 2,2024,100,"Animación, Aventura, Familia, Comedia",Walt Disney Pictures,2024-11-21,"Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung","David G. Derrick Jr., Jason Hand, Dana Ledoux Miller",2516,7.077,https://image.tmdb.org/t/p/w500/b1WsCRfomw7tRi12NuseKsAJxYK.jpg
1152619,Possessions,2024,90,Terror,Paperclip,2024-04-12,"Clive Standen, Yeardley Smith, Mason Wells",Brent Cote,32,5.313,https://image.tmdb.org/t/p/w500/39a7zYZvkGfs7EOVVK3dQlWyYJ0.jpg
939243,Sonic 3: La película,2024,110,"Acción, Ciencia ficción, Comedia, Familia",Paramount Pictures,2024-12-19,"Jim Carrey, Ben Schwartz, Keanu Reeves",Jeff Fowler,2731,7.707,https://image.tmdb.org/t/p/w500/3aDWCRXLYOCuxjrjiPfLd79tcI6.jpg
1180648,Mudbrick,2024,83,"Terror, Drama",Mir Media Group,2024-10-10,"Andrew Howard, Philip Brodie, Kamka Tocinovski",Nikola Petrović,10,5.8,https://image.tmdb.org/t/p/w500/paVJNyxq5odaAHC9YlmNUlceQpu.jpg
1377424,വിക്ടോറിയ,2024,84,Drama,N/A,2024-12-14,"Meenakshi Jayan, Sreeshma Chandran, Jolly Chirayath",Sivaranjini J,2,7.5,https://image.tmdb.org/t/p/w500/hw09PdM2o7pF1zxn1pM8NTMPzno.jpg
1365103,Marriage Unplugged,2024,15,,Jeva Films,2024-10-28,"Nikki Amuka-Bird, Nicholas Gleaves, Sven Ironside","Florine Nüesch, Kim Nüesch",2,8.0,https://image.tmdb.org/t/p/w500/3H99Wl52sBPRqXZ3LJjgODOLfwX.jpg
762509,Mufasa: El rey león,2024,118,"Aventura, Familia, Animación",Walt Disney Pictures,2024-12-18,"Aaron Pierre, Kelvin Harrison, Jr., Tiffany Boone",Barry Jenkins,2226,7.388,https://image.tmdb.org/t/p/w500/dmw74cWIEKaEgl5Dv3kUTcCob6D.jpg
1022789,Del revés 2 (Inside Out 2),2024,96,"Animación, Aventura, Comedia, Familia",Pixar,2024-06-11,"Amy Poehler, Maya Hawke, Kensington Tallman",Kelsey Mann,5945,7.555,https://image.tmdb.org/t/p/w500/lE3DCRI7bQgHSiIuEPcFiXpiuGV.jpg
1317276,映画 ギヴン 海へ,2024,80,"Animación, Romance",Aniplex,2024-09-20,"Shogo Yano, Yuma Uchida, Masatomo Nakazawa",橋本能理子,3,9.3,https://image.tmdb.org/t/p/w500/qUentZw7lvaRVbf2MRHVW8y1la8.jpg
